year,r
2008,5.48
2009,2.63
2010,2.68
2011,3.43
2012,3.27
2013,2.7
2014,2.46
2015,1.71
2016,1.45
2017,1.42
2018,1.7
2019,1.66
2020,0.87
2021,0.87
2022,2.49
2023,3.73
,
,
,
,
