year,CPI
2008,81.656
2009,83.906
2010,86.373
2011,89.85
2012,91.815
2013,93.01
2014,94.196
2015,94.861
2016,95.783
2017,97.645
2018,99.086
2019,99.466
2020,100
2021,102.5
2022,107.72
2023,111.59
,
,
,
,
,
,
,
,
,
,
,
,
,
